Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
AMDAthalon_18,900,1.75,49.7,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_19,900,1.8,60,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_2,550,1.6,46,250,22,184,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_20,950,1.75,52,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_21,950,1.8,62,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_22,1000,1.75,54.3,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_23,1000,1.8,65,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_24,700,1.725,39.15,130,37.2,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_25,750,1.725,41.7,130,37.2,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_26,800,1.725,43.8,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_27,850,1.725,45.9,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_28,900,1.75,50,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_29,950,1.75,52,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_3,550,1.6,31,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_30,1000,1.75,54.3,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_31,1000,1.75,54,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_32,1100,1.75,60,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_33,1133,1.75,63,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_34,1200,1.75,66,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_35,1200,1.75,66,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_36,1300,1.75,68,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_37,1333,1.75,70,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_38,1400,1.75,72,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_39,1400,1.75,72,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_4,600,1.6,50,250,22,184,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_40,1333,1.75,60,180,37.5,130,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_41,1400,1.75,62.8,180,37.5,130,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_42,1400,1.6,48.5,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
